Plate_ID,Well,Breeder_ID,Larva_ID,BreederF,BreederM
Plate 1(FC20200305),F2,Z2622-F14,20200218-Plate1-9F,Z2622-F14,Z2622-M21
Plate 1(FC20200305),F2,Z2622-F14,20200218-Plate1-9G,Z2622-F14,Z2622-M21
Plate 1(FC20200305),F2,Z2622-F14,20200218-Plate1-9H,Z2622-F14,Z2622-M21
Plate 1(FC20200305),F2,Z2622-F14,20200303-Plate1-9F,Z2622-F14,Z2622-M22
Plate 1(FC20200305),F2,Z2622-F14,20200303-Plate1-9G,Z2622-F14,Z2622-M22
Plate 1(FC20200305),F2,Z2622-F14,20200303-Plate1-9H,Z2622-F14,Z2622-M22
Plate 1(FC20200305),F2,Z2622-F14,20200303-Plate1-10A,Z2622-F14,Z2622-M22
Plate 1(FC20200305),F2,Z2622-F14,20200303-Plate1-10B,Z2622-F14,Z2622-M22
Plate 1(FC20200305),F2,Z2622-F14,20200303-Plate1-10C,Z2622-F14,Z2622-M22
Plate 1(FC20200305),F2,Z2622-F14,20200303-Plate1-10D,Z2622-F14,Z2622-M22
Plate 1(FC20200305),F2,Z2622-F14,20200303-Plate1-10E,Z2622-F14,Z2622-M22
Plate 1(FC20200305),F2,Z2622-F14,20200303-Plate1-10F,Z2622-F14,Z2622-M22
Plate 1(FC20200305),F2,Z2622-F14,20200303-Plate1-10G,Z2622-F14,Z2622-M22
Plate 1(FC20200305),F2,Z2622-F14,20200303-Plate1-10H,Z2622-F14,Z2622-M22
Plate 1(FC20200305),F2,Z2622-F14,20200303-Plate1-11A,Z2622-F14,Z2622-M22
Plate 1(FC20200305),F2,Z2622-F14,20200303-Plate1-11B,Z2622-F14,Z2622-M22
Plate 1(FC20200305),F2,Z2622-F14,20200303-Plate1-11E,Z2622-F14,Z2622-M22
Plate 1(FC20200305),F2,Z2622-F14,20200303-Plate1-11F,Z2622-F14,Z2622-M22
Plate 1(FC20200305),F5,Z2622-M6,20200121-Plate1-1H,Z2627-F3a,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200121-Plate1-2A,Z2627-F3a,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200121-Plate1-2B,Z2627-F3a,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200121-Plate1-2C,Z2627-F3a,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200121-Plate1-2D,Z2627-F3a,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200121-Plate1-2E,Z2627-F3a,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200121-Plate1-2F,Z2627-F3a,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200204-Plate1-1A,Z2622-F1,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200204-Plate1-1B,Z2622-F1,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200204-Plate1-1C,Z2622-F1,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200204-Plate1-1D,Z2622-F1,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200204-Plate1-1E,Z2622-F1,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200204-Plate1-1F,Z2622-F1,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200204-Plate1-1G,Z2622-F1,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200204-Plate1-1H,Z2622-F1,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200204-Plate1-2A,Z2622-F1,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200211-Plate2-11G,Z2622-F40,Z2622-M6
