"fish_id","mother","father"
"20191209_Plate1_5G","Z2622_F10","Z2622_M10"
"20191209_Plate1_5H","Z2622_F10","Z2622_M10"
"20191209_Plate1_6A","Z2622_F10","Z2622_M10"
"20191209_Plate1_6B","Z2622_F10","Z2622_M10"
"20191209_Plate1_6C","Z2622_F10","Z2622_M10"
"20191209_Plate1_6D","Z2622_F10","Z2622_M10"
"20191209_Plate1_6E","Z2622_F10","Z2622_M10"
"20191209_Plate1_6F","Z2622_F10","Z2622_M10"
"20191209_Plate1_6G","Z2622_F11","Z2622_M11"
"20191209_Plate1_6H","Z2622_F11","Z2622_M11"
"20191209_Plate1_7A","Z2622_F11","Z2622_M11"
"20191209_Plate1_7B","Z2622_F11","Z2622_M11"
"20191209_Plate1_7C","Z2622_F11","Z2622_M11"
"20191209_Plate1_7D","Z2622_F11","Z2622_M11"
"20191209_Plate1_7E","Z2622_F11","Z2622_M11"
"20191209_Plate1_7F","Z2622_F11","Z2622_M11"
"20191209_Plate1_7G","Z2622_F12","Z2622_M12"
"20191209_Plate1_7H","Z2622_F12","Z2622_M12"
"20191209_Plate1_8A","Z2622_F12","Z2622_M12"
"20191209_Plate1_8B","Z2622_F12","Z2622_M12"
"20191209_Plate1_8C","Z2622_F12","Z2622_M12"
"20191209_Plate1_8D","Z2622_F12","Z2622_M12"
"20191209_Plate1_8E","Z2622_F12","Z2622_M12"
"20191209_Plate1_8F","Z2622_F12","Z2622_M12"
"20191209_Plate1_8G","Z2622_F14","Z2622_M14"
"20191209_Plate1_8H","Z2622_F14","Z2622_M14"
"20191209_Plate1_9A","Z2622_F14","Z2622_M14"
"20191209_Plate1_9B","Z2622_F14","Z2622_M14"
"20191209_Plate1_9C","Z2622_F14","Z2622_M14"
"20191209_Plate1_9D","Z2622_F14","Z2622_M14"
"20191209_Plate1_9E","Z2622_F14","Z2622_M14"
"20191209_Plate1_9F","Z2622_F14","Z2622_M14"
"20191209_Plate1_9G","Z2622_F14","Z2622_M14"
"20191209_Plate1_9H","Z2622_F15","Z2622_M15"
"20191209_Plate1_10A","Z2622_F15","Z2622_M15"
"20191209_Plate1_10B","Z2622_F15","Z2622_M15"
"20191209_Plate1_10C","Z2622_F15","Z2622_M15"
"20191209_Plate1_10D","Z2622_F15","Z2622_M15"
"20191209_Plate1_10E","Z2622_F15","Z2622_M15"
"20191209_Plate1_10F","Z2622_F15","Z2622_M15"
"20191209_Plate1_10G","Z2622_F15","Z2622_M15"
"20191209_Plate1_10H","Z2622_F15","Z2622_M15"
"20191209_Plate1_11A","Z2622_F16","Z2622_M16"
"20191209_Plate1_11B","Z2622_F16","Z2622_M16"
"20191209_Plate1_11C","Z2622_F16","Z2622_M16"
"20191209_Plate1_11D","Z2622_F16","Z2622_M16"
"20191209_Plate1_11E","Z2622_F16","Z2622_M16"
